title,url,author,date,hubs,views,comments,rating,text
Презентации на автопилоте: как ИИ экономит часы рутинной работы,https://habr.com/ru/articles/909018/,Adm1ngmz,2025-05-13T12:02:46.000Z,,,,-1,"Добрый день! Мы продолжаем цикл статей о применении искусственного интеллекта с целью автоматизации рутинных задач. Сегодня поговорим с вами о применении ИИ для создания презентаций.Всем давно пора признать что искусственный интеллект всё глубже проникает в различные области деятельности человека и, по моему мнению, не стоит этому противиться. Рассматривая применение в рамках создания презентаций можно привести множество плюсов:"
"Федеративное обучение: потенциал, ограничения и экономические реалии внедрения",https://habr.com/ru/articles/909014/,KayserSW,2025-05-13T12:01:42.000Z,,,,0,"Федеративное обучение (Federated Learning, FL) становится всё более заметным элементом технологической повестки в условиях ужесточающихся требований к конфиденциальности данных и законодательных ограничений на их передачу. На прошлой неделе при поддержке канала @noml_community мы поговорили с коллегами (Дмитрий Маслов, Михаил Фатюхин, Денис Афанасьев, Евгений Попов, Роман Постников, Павел Снурницын) о Federated Learning. Получилось неожиданно интересно и полезно. Много говорили о кейсах, чуть меньше - о практических аспектах реализации, особенностях работы с данными и о специфике конфиденциальных вычислений. С большим удовольствием пообщались с коллегами по цеху и основными экспертами этой отрасли. https://www.youtube.com/watch?v=JpApLfde38I&list=WL&index=1&t=12sМой вывод - FL как технология и как предмет сделали большой шаг вперед к тому, что бы технологии и потребности рынка “пересеклись” в точки эффективности и кажется что такой момент уже близко."
FreeIPA: как обнаружить атаку злоумышленника на любом этапе Кill Сhain. Часть 2,https://habr.com/ru/companies/ru_mts/articles/905114/,ilnaz_sec,2025-05-13T12:01:00.000Z,,,,0,"Привет, Хабр! Это Ильназ Гатауллин, технический руководитель RED Security SOC и Сергей Орляк, руководитель третьей линии RED Security SOC. В прошлой части мы разобрали целый ряд атак на FreeIPA: показали их механику, показали правила корреляции, которые можно использовать для самостоятельного выявления таких инцидентов, и поделились советами по расследованию. В этой части мы посмотрим на весь Kill Chain атак на FreeIPA и покажем, как приведенные правила позволят выявлять злоумышленника на любом из этапов."
Мировые лидеры по патентам в open source: кто они?,https://habr.com/ru/companies/onlinepatent/articles/909012/,kiselevd,2025-05-13T11:57:42.000Z,,,,0,При соответствующем запросе информации в Google Patents (ключевое слово «open source») — появляется больше 100 тысяч результатов. Если попросить систему предоставить исключительно новые патенты — поисковая выдача сократится до 16 384 пунктов.Попробуем проанализировать документы подобного профиля и их владельцев.
"Как понять, выдержит ли ваш сервис нагрузку: метрики, которые должен знать каждый инженер",https://habr.com/ru/articles/909002/,mariaparfenyuk,2025-05-13T11:49:51.000Z,,,,+1,"""А сколько пользователей выдержит наш сервис?""Вопрос звучит просто, но каждый раз ставит в тупик. Его задают на демо, на встречах с заказчиками, менеджеры, иногда даже сами разработчики.Когда-то, ещё в школьные годы, я читала журнал ""Хакер"" и мечтала, как было бы здорово ""ломать серверы"" и находить их слабые места.Теперь я занимаюсь этим вполне законно - через нагрузочное тестирование. И, честно говоря, это одно из самых приятных занятий в моей работе.Видеть, как система реагирует на рост нагрузки, оптимизировать запросы, отслеживать поведение метрик в реальном времени - это настоящее инженерное удовольствие. Ведь за каждой цифрой стоят реальные пользователи, для которых важно, чтобы всё работало быстро и стабильно, даже в пиковые моменты.Тем не менее, многие команды избегают нагрузки.""Мы уже проверяли это в начале проекта - зачем снова?""""Сложно, долго, не для нас.""""Сделайте отчёт, главное чтобы красиво смотрелось.""А иногда - просто страшно увидеть, как система покажет себя в реальных условиях.На самом деле всё гораздо проще. Главное, понимать ключевые метрики и уметь смотреть на них не как на сухие цифры, а как на отражение реального опыта ваших пользователей."
"Зрение и его коррекция — не то, чем кажется",https://habr.com/ru/companies/sberbank/articles/908998/,Sber,2025-05-13T11:41:58.000Z,,,,+4,"Привет, Хабр! Я — один из инженеров Сбера, и сегодня хочу поговорить с вами не о технологиях, которыми мы обычно делимся в корпоративном блоге, а о том, что волнует каждого айтишника, проводящего долгие часы за монитором — о зрении и способах его коррекции. И нет, это не очередной пост про то, как синий свет от монитора убивает наши глаза (хотя и убивает; вроде бы), и не про то, как сидеть ровно и моргать каждые 20 минут (хотя и нужно; но это не точно)."
Почему игры дорожают? Разобрались в ценовой политике издательств за всю историю,https://habr.com/ru/companies/ggsel/articles/908996/,ggsel,2025-05-13T11:35:14.000Z,,,,0,"В 2025 году уже вторая крупная компания объявила о повышении цен на флагманские игры до $80. Все постепенно идет к тому, что $80 станет новым индустриальным стандартом. Геймеры помнят, что долгие годы игры стоили $60, и негодуют: создают петиции и обещают, что не будут покупать игры по таким ценам. На очереди также висит анонс цены GTA 6 — многие специалисты утверждают, что ее стоимость может быть еще выше.Мы решили погрузиться в историю цен на игры, начиная с 1970-х годов. Оказалось, что сегодняшние времена — одни из лучших для игроков, и ценник даже в $80 куда демократичнее, чем обычно бывало в индустрии. Как так получилось, причем тут инфляция, и как Nintendo и Sony занимались ценообразованием в прошлом — читайте в нашем материале."
"Вселенная дистрибутивов Linux: От Ubuntu до Arch, от Mint до Fedora – подробный гид по выбору",https://habr.com/ru/articles/908986/,jacqquard,2025-05-13T10:57:32.000Z,,,,+5,"Экосистема дистрибутивов Linux разнообразна и предлагает множество вариантов с разными особенностями. Выбор зависит от целей, уровня подготовки, оборудования и предпочтений пользователя. Этот обзор поможет подойти к выбору осознанно и углубиться в изучение Linux. Обмен опытом в сообществе способствует общему росту знаний."
"Всё о процессных переменных, что должен знать BPM-разработчик. Часть 1",https://habr.com/ru/companies/haulmont/articles/908980/,stas_makarov,2025-05-13T10:31:47.000Z,,,,+1,"Эта статья продолжает цикл BPMN: Beyond the Basics – о скрытых нюансах и подводных камнях BPMN для разработчиков. Сегодня поговорим о процессных переменных — для чего они используются в процессе, чем отличаются от переменных в языках программирования и как работают области видимости. Казалось бы, что тут обсуждать? — Однако, если погрузиться на уровень поглубже аналитического, то обнаруживается много интересного. Поэтому в одну статью даже не поместилось, пришлось делить на две части."
"Как я променял полярную ночь на горную деревню в Турции, и купил там квартиру за 11 млн ₽",https://habr.com/ru/articles/908942/,gudric_misa,2025-05-13T10:27:08.000Z,,,,0,"Меня зовут Паша, я DevOps-инженер. Раньше работал в офисе в Мурманске и приезжал в Кемер только в отпуск. Нравилось, как здесь всё устроено: утром можно за двадцать минут дойти до моря, вечером — посидеть в кафе под открытым небом. Всё рядом, спокойно, климат мягкий, люди простые и доброжелательные. Даже короткий отпуск здесь ощущался как перезагрузка.А потом перешёл на удалёнку в европейскую компанию и понял, что больше нет привязки к месту. Приехал в Кемер уже без обратного билета. Всё, что нравилось в коротких поездках, стало частью обычной жизни: тёплые вечера, свежие продукты, море через дорогу и работа в своём темпе. Так и решил остаться."
Методы убийства ИТ-продукта: мнение QA-инженера,https://habr.com/ru/companies/magnit/articles/908954/,Jul_Ptichka,2025-05-13T10:18:11.000Z,,,,+4,"Всем привет! Меня зовут Юлия, и уже 6 лет я занимаюсь тестированием. За свою карьеру я успела принять участие в разных проектах компаний от стартапов до гигантов индустрии, тестировала бэк, фронт, мобилки, веб и даже устройства интернета вещей, успела дорасти до тимлида и начать осваивать автоматизацию.В этой статье я поделюсь своим опытом QA-инженера и расскажу о самых распространенных ошибках, которые могут убить ИТ-продукт на корню. Я собрала примеры из реальной жизни, чтобы показать, как даже самые мелкие недочеты могут обернуться огромными проблемами.Все хотят успешный ИТ-продукт. Но создание успешного ИТ-продукта - это настоящее искусство, требующее от команды не только технических навыков и софт скилов, но и глубокого понимания потребностей пользователей. Правда убить продукт намного легче, чем сделать качественный. Далее расскажу, какие методы убийства я встречала чаще всего. В конце составила чек-лист, как спасти ИТ-продукту жизнь…"
Секреты дедлоков,https://habr.com/ru/companies/ozonbank/articles/908978/,Jimiliani2,2025-05-13T10:16:24.000Z,,,,0,"Как-то раз я допустил в своем коде дедлок и пока выкатывал пул реквест с его фиксом думал “ах как бы было хорошо, если дедлоки определялись на этапе компиляции”. Я решил немного разобраться в этом вопросе и вот что выяснил…"
Мастерство фокусов на Compose 2: как работает запрос фокуса,https://habr.com/ru/companies/habr_rutube/articles/902306/,Ra5en,2025-05-13T10:10:32.000Z,,,,+2,"Привет! Меня зовут Костя, я Android-разработчик в онлайн-кинотеатре PREMIER. В процессе работы над проектом PREMIER для AndroidTV я столкнулся с тем, что в Jetpack Compose механизм фокусов — достаточно сложная и неочевидная тема. А информации в интернете об этом очень мало, особенно о специфичных сценариев вроде ТВ-приложений или устройств без сенсорного ввода.Поэтому я решил разобрать тему фокусов в Compose максимально подробно, чтобы помочь разработчикам лучше понять этот механизм и избежать типичных ошибок. В первой статье на эту тему мы уже разобрали базовую структуру фокусировки в Compose. Теперь пришло время углубиться в технические детали: что именно происходит, когда вызывается requestFocus(), как Compose выбирает элемент для фокусировки и какие изменения были внесены в Compose 1.8, чтобы улучшить этот процесс.Если вы работаете с приложениями под Android TV, кастомными компонентами или просто хотите лучше понимать, как работает система фокусов, эта статья для вас."
"Мощнее, холоднее и дешевле, чем RTX 4060 Ti: обзорщики высоко оценили RTX 5060 Ti 16 ГБ",https://habr.com/ru/companies/x-com/articles/908964/,Xcom-shop,2025-05-13T09:45:48.000Z,,,,0,"Эволюция видеокарт среднего сегмента всегда была интересным зрелищем. Для опытного производителя вроде NVIDIA не составляло особого труда сделать мощный и дорогой графический ускоритель. Другое дело – недорогие GPU. Вендору нужно было сильно постараться, чтобы найти ту самую золотую середину, которая привлечет максимально широкую аудиторию покупателей. В 2025 году этим “эталонным компромиссом” должна была стать RTX 5060 Ti. Ее даже выпустили позже, чем более старшие модели – видимо, из-за опасений внутренней каннибализации. Но стоило ли бояться и так ли хороша новая карта, особенно в сравнении с RTX 4060 Ti? Давайте разбираться."
"Компьютерные модули на процессорах с TPU/NPU ускорителями, как альтернатива Nvidia Jetson",https://habr.com/ru/articles/908962/,Alekseim,2025-05-13T09:41:56.000Z,,,,+3,"Рассмотрены архитектуры центральных процессоров для ускорения работы с искусственными нейронными сетями. Приведены примеры отечественных встраиваемых компьютерных модулей и блоков для решения задач машинного зрения, видеоаналитики и оптической навигации."
Криптография эпохи Ренессанса: классика не стареет,https://habr.com/ru/companies/bastion/articles/901484/,Pavel_Kanaev,2025-05-13T09:34:43.000Z,,,,+11,"В прошлой публикации кандидат исторических наук, старший научный сотрудник Московского музея криптографии Анастасия Ашаева рассказала о том, как политики и дипломаты использовали криптографию в эпоху Ренессанса.  Теперь оставим эти увлекательные «игры престолов» и обратимся непосредственно к шифрованию. Как во времена Возрождения пытались усилить устаревшие шифры и что из этого получилось? Какие принципиально новые методики появились и в чем их преимущества? Кто стал «Леонардо да Винчи» от криптографии? Ответы на эти и другие вопросы читайте под катом."
Распродажа в издательстве «Питер»,https://habr.com/ru/companies/piter/articles/908908/,ph_piter,2025-05-13T09:18:58.000Z,,,,+15,"Добрый день, Хаброжители!

Подводим итоги весны приятными ценами на наши книги."
Гравитация: Пишем симулятор на Python,https://habr.com/ru/articles/908952/,Nikuson,2025-05-13T09:16:48.000Z,,,,+6,"Привет, Хабр! Сегодня мы отправимся в увлекательное путешествие по просторам Вселенной, не вставая из-за компьютера. Задумывались ли вы, как планеты удерживаются на своих орбитах, почему галактики не разлетаются в разные стороны, и что заставляет яблоки падать на землю (да-да, снова этот старина Ньютон)? Ответ один – гравитация! Эта невидимая, но всемогущая сила правит бал во Вселенной, от мельчайших пылинок до гигантских скоплений галактик. Мы разберёмся, как из простых законов рождаются сложные и красивые взаимодействия, напишем код, который оживит наши виртуальные миры, и, возможно, даже почувствуем себя немного демиургами, управляющими судьбами звёзд."
Как создавать понятные и наглядные графики с помощью библиотеки Plotly: 5 советов и примеры кода,https://habr.com/ru/companies/garage8/articles/908950/,kmazurovl,2025-05-13T09:16:26.000Z,,,,+4,"Привет, Хабр! На связи Кирилл Мазуров, продуктовый аналитик в Garage Eight. Прошлая статья с советами по визуализации данных собрала больше 70 сохранений, поэтому написал вторую часть и дополнил ее примерами кода."
ЦОД 2050: три реалистичные концепции развития дата-центров,https://habr.com/ru/companies/ruvds/articles/908710/,SrvTrantor,2025-05-13T09:01:38.000Z,,,,+16,"Что будет с дата-центрами, когда физические пределы достигнуты? Когда PUE упадёт ниже единицы, а каждая новая стойка будет выходить в минус? Ответ уже начинает проявляться. Новый виток эволюции ЦОДов не в росте плотности или увеличении каналов. Он — в изменении самой парадигмы: дата-центр не как здание, а как среда, экосистема, организм. В статье представил три сценария будущего дата-центров.

Спойлер: ни одна из описанных ниже концепций не является фантастикой. Все они — логическое продолжение уже происходящих процессов."
